Rounds	x                                 y                                 z                                 tk1                               tk2                               tk               pr     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	10000025100000040050001015100050  40000025400000050004004061400004  40000025400000050004004061400004  0000000000000000000000fc00000000  00000000000000000000003f00000000  0000000000000000 -23.0  
1	00400440400000250500000440400021  00060606060000a52600000606060020  00060606060000262600000606060020  00000000000000fc0000000000000000  000000000000007f0000000000000000  0000000000000083 -31.0  
2	06000000000606062600260000002006  21000000002121212100210000009021  21000000002121212100210000009021  000000000000000000000000000000fc  0000000000000000000000000000007f  0000000000000000 -23.0  
3	00900000210000000000002100002100  00030000200000000000002000002000  00000000200000000000002000002000  00fc0000000000000000000000000000  00ff0000000000000000000000000000  0003000000000000 -8.0   
4	00000000000000000000000000200000  00000000000000000000000000900000  00000000000000000000000000900000  000000000000000000fc000000000000  000000000000000000ff000000000000  0000000000000000 -2.0   
5	90000000000000000000000000000000  02000000000000000000000000000000  00000000000000000000000000000000  fc000000000000000000000000000000  fe000000000000000000000000000000  0200000000000000 -2.0   
6	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  0000000000000000fc00000000000000  0000000000000000fe00000000000000  0000000000000000 -0.0   
7	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  0000fc00000000000000000000000000  0000fc00000000000000000000000000  0000000000000000 -0.0   
8	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000fc0000000000  00000000000000000000fc0000000000  0000000000000000 -0.0   
9	00000000000000000000000000000000  00000000000000000000000000000000  00000000040000000000000000000000  00000000fc0000000000000000000000  00000000f80000000000000000000000  0000000004000000 -0.0   
10	00000000000000000004000000000000  00000000000000000001000000000000  00000000000000000001000000000000  000000000000000000000000fc000000  000000000000000000000000f8000000  0000000000000000 -2.0   
11	00000001000000000000000100000001  00000020000000000000002000000020  0000002000000c000000002000000020  000000000000fc000000000000000000  000000000000f0000000000000000000  0000000000000c00 -6.0   
12	00202020000000200020000c00200020  none                              none                              none                              none                              none             none   

