The probability of the best differential characteristic: 2^-(222.075)

Differential trail:

Rounds	x                                 y                                 z                                 tk1                               tk2                               tk               pr     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	00000000000000000000000000000080  00000000000000000000000000000002  00000000000000000000000000000002  0000000000000000f000000000000000  0000000000000000fc00000000000000  0000000000000000 -2.0   
1	00000200000000000000000000000000  00000800000000000000000000000000  00000000000000000000000000000000  0000f000000000000000000000000000  0000f800000000000000000000000000  0000080000000000 -2.0   
2	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000f00000000000  00000000000000000000f80000000000  0000000000000000 -0.0   
3	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  00000000f00000000000000000000000  00000000f00000000000000000000000  0000000000000000 -0.0   
4	00000000000000000000000000000000  00000000000000000000000000000000  00000000000000000000000000000000  000000000000000000000000f0000000  000000000000000000000000f0000000  0000000000000000 -0.0   
5	00000000000000000000000000000000  00000000000000000000000000000000  00000000000010000000000000000000  000000000000f0000000000000000000  000000000000e0000000000000000000  0000000000001000 -0.0   
6	00000000000000000000001000000000  00000000000000000000004000000000  00000000000000000000004000000000  0000000000000000000000000000f000  0000000000000000000000000000e000  0000000000000000 -2.0   
7	00400000000000000040000000400000  00040000000000000004000000440000  00040000003000000004000000440000  0000000000f000000000000000000000  0000000000c000000000000000000000  0000000000300000 -7.0   
8	44040004000400000000300400040004  29b9002800bb00000000c32d00280001  29b9002800bb00000000c32d00280001  00000000000000000000000000f00000  00000000000000000000000000c00000  0000000000000000 -33.415
9	c294012829b90028c32dbb00ea940028  5c03b838308900302a3144003a030030  5c03b849308900302a3144003a030030  000000f0000000000000000000000000  00000081000000000000000000000000  0000007100000000 -49.83 
10	1b03a2425c03b8497430a33118039278  78bc8a081124807428c0746070200c5c  78bc8a081124807428c0746070200c5c  0000000000000000000000f000000000  00000000000000000000008100000000  0000000000000000 -63.83 
11	2cd0feb878bc8a0800710c400cdca2c8  314645808481c01000241104a1a88a44  314645808481c0e300241104a1a88a44  00000000000000f00000000000000000  00000000000000030000000000000000  00000000000000f3 -62.0  
12	88c8010531464580f28081e4204245a4  none                              none                              none                              none                              none             none   


